generic_name;synonym
Niacinamide;niacinamide
Niacinamide;vitamin b3
Niacinamide;nicotinamide
Niacinamide;3-pyridinecarboxamide
Alpha-Arbutin;alpha-arbutin
Camellia Sinensis Leaf Extract;camellia sinensis leaf extract
Camellia Sinensis Leaf Extract;green tea
Camellia Sinensis Leaf Extract;oolong tea
Camellia Sinensis Leaf Extract;white tea
Camellia Sinensis Leaf Extract;black tea
Camellia Sinensis Leaf Extract;green tea extract
Camellia Sinensis Leaf Extract;green tea leaf extract
Tocopherol;tocopherol
Tocopherol;vitamin e
Citric Acid;citric acid
Ceramide AP;ceramide ap
Ceramide AP;1,3,4-octadecanetriol
Ceramide AP;2-(2-hydroxy) stearamide
Ceramide AP;a-hydroxy-n-stearoylphytosphingosine
Ceramide AP;ceramide 6
Ceramide NP;ceramide np
Ceramide NP;2-octadecanamide
Ceramide NP;stearoyl-c18-phytosphingosine
Ceramide NP;stearoyl-4-hydroxysphinganine
BHA;bha
BHA;butylated hydroxyanisole
Snail Secretion Filtrate;snail secretion filtrate
Snail Secretion Filtrate;snail mucin
Snail Secretion Filtrate;ssf
Benzoyl Peroxide;benzoyl peroxide
Tretinoin;tretinoin
Tretinoin;all-trans-retinoic acidretinoic acid
Lactic Acid;lactic acid
Hyaluronic Acid;hyaluronic acid
Hyaluronic Acid;hyaluronan
Sodium Hyaluronate;sodium hyaluronate
Sodium Hyaluronate;hyaluronic sodium
Sodium Hyaluronate;hyaluronic salt
Salicylic Acid;salicylic acid
Glycerin;glycerin
Glycerin;vegetable glycerin
Glycerin;glycerine
Glycerin;glycerol
Retinol;retinol
Retinol;vitamin a
Ascorbic Acid;ascorbic acid
Ascorbic Acid;vitamin cl-ascorbic acid
Squalane;squalane
Squalane;olive squalane
Panthenol;panthenol
Panthenol;pro-vitamin b5
Glycolic Acid;glycolic acid
Centella Asiatica Extract;centella asiatica extract
Centella Asiatica Extract;gotu kola
Centella Asiatica Extract;tiger grass
Centella Asiatica Extract;indian pennywort
Centella Asiatica Extract;cica
Centella Asiatica Extract;asiatic acid
Centella Asiatica Extract;hydrocotyl
Centella Asiatica Extract;asiatic pennywort
Azelaic Acid;azelaic acid
Water;water
Water;eau
Water;aqua
Water;purified water
Water;aqua / water
Water;distilled water
Water;deionized water
Water;spring water
Bakuchiol;bakuchiol
Madecassoside;madecassoside
Caprylic/Capric Triglyceride;caprylic/capric triglyceride
Butylene Glycol;butylene glycol
Butylene Glycol;bg
Ceramide 3;ceramide 3
Dimethicone;dimethicone
Zinc;zinc
Ceramide EOP;ceramide eop
Ceramide EOP;2-stearoyloxyheptacosamide
Ceramide EOP;stearoyloxyheptacosanoyl-c18-phytosphingosine
Ceramide EOP;stearoyloxyheptacosanoyl-4-hydroxysphinganine
Zinc Oxide;zinc oxide
Collagen;collagen
Collagen;vegetable collagen
Kojic Acid;kojic acid
Adapalene;adapalene
Urea;urea
Urea;carbamide
Retinal;retinal
Retinal;retinaldehyde
Allantoin;allantoin
Copper Tripeptide-1;copper tripeptide-1
Copper Tripeptide-1;ghk-cu
Copper Tripeptide-1;glycyl-l-histidyl-l-lysine
Copper Tripeptide-1;ghk
Copper Tripeptide-1;copper peptide
Centella Asiatica Leaf Cell Extract;centella asiatica leaf cell extract
Aloe Barbadensis Leaf Juice;aloe barbadensis leaf juice
Aloe Barbadensis Leaf Juice;aloe vera
Aloe Barbadensis Leaf Juice;aloe vera leaf
Aloe Barbadensis Leaf Juice;aloe vera 100x
Aloe Barbadensis Leaf Juice;aloe vera 200x
Aloe Barbadensis Leaf Juice;aloe vera gel
Ceramide 1;ceramide 1
Propolis Extract;propolis extract
Aloe Barbadensis Leaf;aloe barbadensis leaf
Aloe Barbadensis Leaf;aloealoe vera leaf powder
Mandelic Acid;mandelic acid
Mandelic Acid;amygdalic acid
Hydrolyzed Hyaluronic Acid;hydrolyzed hyaluronic acid
Tranexamic Acid;tranexamic acid
Tranexamic Acid;txa
Ceramide Ng;ceramide ng
Ceramide Ng;ceramide 2
Panax Ginseng Root Extract;panax ginseng root extract
Panax Ginseng Root Extract;black ginseng extract
Panax Ginseng Root Extract;korean ginseng
Panax Ginseng Root Extract;korean red ginseng
Betaine;betaine
Acetyl Hexapeptide-8;acetyl hexapeptide-8
Acetyl Hexapeptide-8;agireline
Acetyl Hexapeptide-8;acetyl hexpeptide-3
Acetyl Hexapeptide-8;argireline
Sulfur;sulfur
Ceramide As;ceramide as
Ceramide Ns;ceramide ns
Ceramide Ns;2-hexadecanamide
Ceramide Ns;palmitoyl-c16-dihydrosphingosine
Ceramide Ns;1-stearoyl-c18-sphingosine
Ceramide Ns;1,3-hexadecanediol
Avena Sativa Kernel Extract;avena sativa kernel extract
Avena Sativa Kernel Extract;oat extractcolloidal oatmeal
Propanediol;propanediol
Propanediol;propandiol
Propanediol;trimethylene glycol
Propanediol;1,3-dihydroxypropane
Propanediol;2-deoxyglycerol
Propanediol;methylpropanediol
Propanediol;propane-1,3-diol
Houttuynia Cordata Extract;houttuynia cordata extract
Houttuynia Cordata Extract;fish mint
Houttuynia Cordata Extract;fish mint extract
Houttuynia Cordata Extract;heart leaf extract
Houttuynia Cordata Extract;chameleon plant
Beta-Glucan;beta-glucan
Caffeine;caffeine
Centella Asiatica Leaf;centella asiatica leaf
Ceramide Ag;ceramide ag
Colloidal Oatmeal;colloidal oatmeal
Rosa Damascena Flower Water;rosa damascena flower water
Rosa Damascena Flower Water;rose water
Rosa Damascena Flower Water;rose hydrosol
Rosa Damascena Flower Water;damask rose water
Butyrospermum Parkii Butter;butyrospermum parkii butter
Butyrospermum Parkii Butter;shea butterkarite butter
Ferulic Acid;ferulic acid
Squalene;squalene
Arbutin;arbutin
Tocopheryl Acetate;tocopheryl acetate
Centella Asiatica Leaf Extract;centella asiatica leaf extract
Snail Extract;snail extract
1,2-Hexanediol;1,2-hexanediol
1,2-Hexanediol;1,2 hexanediol
Adenosine;adenosine
Clindamycin Phosphate;clindamycin phosphate
Galactomyces Ferment Filtrate;galactomyces ferment filtrate
Bisabolol;bisabolol
Bisabolol;alpha-bisabolo
Aloe Barbadensis Leaf Extract;aloe barbadensis leaf extract
Oryza Sativa Extract;oryza sativa extract
Oryza Sativa Extract;rice extractasian rice
Gluconolactone;gluconolactone
Bifida Ferment Lysate;bifida ferment lysate
Simmondsia Chinensis Seed Oil;simmondsia chinensis seed oil
Simmondsia Chinensis Seed Oil;jojoba oiljojoba
Cholesterol;cholesterol
Sodium Hydroxide;sodium hydroxide
Sodium Hydroxide;lye
Sodium Hydroxide;caustic soda
Sodium Hydroxide;naoh
