,name,synonym
142,Cetearyl Alcohol,"(C16-C18) Alkyl Alcohol, C1618, C16-18 Alcohols, Cetostearyl Alcohol,Cetyl/Stearyl Alcohol"
1460,Oleyl Alcohol,(Z)-Octadec-9-Enol
19,Ceramide AP,"1, 3, 4-Octadecanetriol, 2-(2-Hydroxy) Stearamide, Α-Hydroxy-N-Stearoylphytosphingosine,Ceramide 6"
60,"1,2-Hexanediol","1,2 Hexanediol"
360,Ceramide 1 A,"1,3,4-Octadecanetriol"
212,Cocamidopropyl Betaine,"1-Propanaminium, Hydroxide Inner Salt,Capb"
2241,Sorbic Acid,"2,4-Hexadienoic Acid"
66,Ceramide Ns,"2-Hexadecanamide, Palmitoyl-C16-Dihydrosphingosine, 1-Stearoyl-C18-Sphingosine,1,3-Hexadecanediol"
574,Hexylene Glycol,"2-Methyl-2,4-Pentanediol"
108,Phenoxyethanol,2-Phenoxyethanol
41,Ceramide EOP,"2-Stearoyloxyheptacosamide, Stearoyloxyheptacosanoyl-C18-Phytosphingosine,Stearoyloxyheptacosanoyl-4-Hydroxysphinganine"
669,Caffeic Acid,"3,4-Dihydroxy-Cinnamic Acid"
6996,Paba,"4-Aminobenzoic Acid, Para-Aminobenzoic Acid"
666,Euterpe Oleracea Fruit Extract,"AÇaÍ Oil, Acai Oil"
105,Ascorbyl Glucoside,Aa2g
770,Aminopropyl Ascorbyl Phosphate,Aap
7514,Euterpe Oleracea Juice,Acai Juice
4334,Euterpe Oleracea Pulp Powder,Acai Powder
1644,Malpighia Emarginata Fruit Extract,Acerola Fruit Extract
5778,Malpighia Emarginata Seed Extract,Acerola Seed
7242,Acetylcedrene,"Acetyl Cedrene, Methyl Cedryl Ketone"
1738,Adenosine Phosphate,"Adenosine Monophosphate, Amp"
1714,Elaeis Guineensis Oil,"African Palm Oil, Macaw-Fat"
8856,Gelidium Amansii Extract,Agar
68,Acetyl Hexapeptide-8,"Agireline, Acetyl Hexpeptide-3,Argireline"
898,Ahnfeltia Concinna Extract,Ahnfeltia Extract
174,Linolenic Acid,"Ala, Alpha-Linolenic Acid,Omega-3 Fatty Acid"
647,Medicago Sativa Extract,Alfalfa Extract
19140,Medicago Sativa Leaf Powder,Alfalfa Powder
2604,Alkanna Tinctoria Root Extract,"Alkanet, Alkanet Root"
14,Tretinoin,"All-Trans-Retinoic Acid, Retinoic Acid"
32,Aloe Barbadensis Leaf,"Aloe, Aloe Vera Leaf Powder"
29,Aloe Barbadensis Leaf Juice,"Aloe Vera, Aloe Vera Leaf, Aloe Vera 100x, Aloe Vera 200x,Aloe Vera Gel"
465,Thioctic Acid,"Alpha Lipoic Acid, Lipoic Acid"
91,Bisabolol,Alpha-Bisabolo
1815,Amyris Balsamifera Bark Oil,"Alum, Alum Oil,Amyris Essential Oil"
1978,Alumina,Aluminum Oxide
2563,Isoamyl P-Methoxycinnamate,Amiloxate
34,Mandelic Acid,Amygdalic Acid
