,name,synonym,all_possible_synonyms,all_possible_synonyms_formatted,all_possible_synonyms_tok
0,"1,10-Decanediol",,"1,10-Decanediol",1.10-Decanediol,"1,10-decanediol"
1,"1,1-Dimethyl-2-Phenylethyl Isobutyrate",,"1,1-Dimethyl-2-Phenylethyl Isobutyrate",1.1-Dimethyl-2-Phenylethyl Isobutyrate,"1,1-dimethyl-2-phenylethyl isobutyrate"
2,"1,1-Dimethyl-3-Phenylpropyl Isobutyrate",,"1,1-Dimethyl-3-Phenylpropyl Isobutyrate",1.1-Dimethyl-3-Phenylpropyl Isobutyrate,"1,1-dimethyl-3-phenylpropyl isobutyrate"
3,"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-Trimethyl-2-Naphthol",,"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-Trimethyl-2-Naphthol",1.2.3.4.4a.5.6.7-Octahydro-2.5.5-Trimethyl-2-Naphthol,"1,2,3,4,4a,5,6,7-octahydro-2,5,5-trimethyl-2-naphthol"
4,"1,2,3,4,4a,7,8,8a-Octahydro-2,4a,5,8a-Tetramethyl-Naphthyl Formate",,"1,2,3,4,4a,7,8,8a-Octahydro-2,4a,5,8a-Tetramethyl-Naphthyl Formate",1.2.3.4.4a.7.8.8a-Octahydro-2.4a.5.8a-Tetramethyl-Naphthyl Formate,"1,2,3,4,4a,7,8,8a-octahydro-2,4a,5,8a-tetramethyl-naphthyl formate"
5,"1,2,4-Trihydroxybenzene",,"1,2,4-Trihydroxybenzene",1.2.4-Trihydroxybenzene,"1,2,4-trihydroxybenzene"
6,"1,2,6-Hexanetriol",,"1,2,6-Hexanetriol",1.2.6-Hexanetriol,"1,2,6-hexanetriol"
7,"1,2-Bis-(2-Aminoethoxy)Ethane",,"1,2-Bis-(2-Aminoethoxy)Ethane",1.2-Bis-(2-Aminoethoxy)Ethane,"1,2-bis-(2-aminoethoxy)ethane"
8,"1,2-Butanediol",,"1,2-Butanediol",1.2-Butanediol,"1,2-butanediol"
9,"1,2-Dihydrolinalool",,"1,2-Dihydrolinalool",1.2-Dihydrolinalool,"1,2-dihydrolinalool"
10,"1,2-Hexanediol","1,2 Hexanediol","1,2-Hexanediol, 1,2 Hexanediol","1.2-Hexanediol, 1.2 Hexanediol","1,2-hexanediol, 1,2 hexanediol"
11,"1,2-Hexanediyl Dicaprate",,"1,2-Hexanediyl Dicaprate",1.2-Hexanediyl Dicaprate,"1,2-hexanediyl dicaprate"
12,"1,3,4,6-Tetramethyl-2-Pyrimidone Sulfate",,"1,3,4,6-Tetramethyl-2-Pyrimidone Sulfate",1.3.4.6-Tetramethyl-2-Pyrimidone Sulfate,"1,3,4,6-tetramethyl-2-pyrimidone sulfate"
