,ingredientID,generic_name,synonym,Carcinogens,EndocrineDisruptors,Allergen,SkinIrritant,Forbidden during pregnancy
0,0,"1,1-Dimethyl-2-Phenylethyl Isobutyrate","1,1-dimethyl-2-phenylethyl isobutyrate",False,False,False,False,False
1,1,"1,1-Dimethyl-3-Phenylpropyl Isobutyrate","1,1-dimethyl-3-phenylpropyl isobutyrate",False,False,False,False,False
2,2,"1,10-Decanediol","1,10-decanediol",False,False,False,False,False
3,3,"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-Trimethyl-2-Naphthol","1,2,3,4,4a,5,6,7-octahydro-2,5,5-trimethyl-2-naphthol",False,False,False,False,False
4,4,"1,2,3,4,4a,7,8,8a-Octahydro-2,4a,5,8a-Tetramethyl-Naphthyl Formate","1,2,3,4,4a,7,8,8a-octahydro-2,4a,5,8a-tetramethyl-naphthyl formate",False,False,False,False,False
5,5,"1,2,4-Trihydroxybenzene","1,2,4-trihydroxybenzene",False,False,False,False,False
6,6,"1,2,6-Hexanetriol","1,2,6-hexanetriol",False,False,False,False,False
7,7,"1,2-Bis-(2-Aminoethoxy)Ethane","1,2-bis-(2-aminoethoxy)ethane",False,False,False,False,False
8,8,"1,2-Butanediol","1,2-butanediol",False,False,False,False,False
9,9,"1,2-Dihydrolinalool","1,2-dihydrolinalool",False,False,False,False,False
10,10,"1,2-Hexanediol","1,2-hexanediol",False,False,False,False,False
11,10,"1,2-Hexanediol","1,2 hexanediol",False,False,False,False,False
12,11,"1,2-Hexanediyl Dicaprate","1,2-hexanediyl dicaprate",False,False,False,False,False
13,12,"1,3,4,6-Tetramethyl-2-Pyrimidone Sulfate","1,3,4,6-tetramethyl-2-pyrimidone sulfate",False,False,False,False,False
14,13,"1,3-Bis-(2,4-Diaminophenoxy) Propane Hcl","1,3-bis-(2,4-diaminophenoxy) propane hcl",False,False,False,False,False
15,14,"1,3-Bis-(2,4-Diaminophenoxy)Propane","1,3-bis-(2,4-diaminophenoxy)propane",False,False,False,False,False
