"ID;Name;Synonym"
"1;(20s)-Protopanaxadiol;(20s)-Protopanaxadiol"
"2;(Agaricus Blazei Ferment + Ganoderma Lucidum Ferment + Ganoderma Multipileum Ferment) Extract;(Agaricus Blazei Ferment + Ganoderma Lucidum Ferment + Ganoderma Multipileum Ferment) Extract"
"3;(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa) Root/Cnidium Officinale Rhizome Extract;(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa) Root/Cnidium Officinale Rhizome Extract"
"4;(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia Jasminoides Fruit/Phellodendron Chinense Bark Extract;(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia Jasminoides Fruit/Phellodendron Chinense Bark Extract"
"5;(Angelica Gigas/Glycyrrhiza Uralensis/Rehmannia Glutinosa Root)/Angelica Gigas Stem/Carthamus Tinctorius Flower/(Carthamus Tinctorius/Prunus Persica Seed)Poria Cocos Water;(Angelica Gigas/Glycyrrhiza Uralensis/Rehmannia Glutinosa Root)/Angelica Gigas Stem/Carthamus Tinctorius Flower/(Carthamus Tinctorius/Prunus Persica Seed)Poria Cocos Water"
"6;(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract;(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract"
"7;(Apple/Citrus Junos/Lentil/Pear/Pumpkin/Strawberry/Tomato Fruit)/Corn Kernel/(Arctium Lappa/Brassica Oleracea Acephala/Cabbage/Camellia Sinensis/Moringa Oleifera/Radish/Spinach Leaf)/(Sorghum Bicolor Leaf/Stem)/Oat Meal/Potato Pulp/(Carrot/Nelumbo Nucifera/Radish/Wild Yam Root)/(Amaranthus Hypochondriacus/Cashew/Cicer Arietinum/Coix Lacryma-Jobi Ma-Yuen /Macadamia Ternifolia/Phaseolus Angularis/Pistacia Vera/Rhynchosia Nulubilis/Rice/Sesame/Setaria Italica/Soybean/Sweet Almond/Wheat Seed)/Hordeum Vulgare Sprout/Cyperus Esculentus Tuber/Artemisia Princeps/Broccoli/Chenopodium Quinoa/Enteromorpha Compressa/Hordeum Vulgare/Ipomoea Batatas/Laminaria Japonica/Lentinus Edodes/Pleurotus Ostreatus/Porphyra Tenera/Undaria Pinnatifida Extract;(Apple/Citrus Junos/Lentil/Pear/Pumpkin/Strawberry/Tomato Fruit)/Corn Kernel/(Arctium Lappa/Brassica Oleracea Acephala/Cabbage/Camellia Sinensis/Moringa Oleifera/Radish/Spinach Leaf)/(Sorghum Bicolor Leaf/Stem)/Oat Meal/Potato Pulp/(Carrot/Nelumbo Nucifera/Radish/Wild Yam Root)/(Amaranthus Hypochondriacus/Cashew/Cicer Arietinum/Coix Lacryma-Jobi Ma-Yuen /Macadamia Ternifolia/Phaseolus Angularis/Pistacia Vera/Rhynchosia Nulubilis/Rice/Sesame/Setaria Italica/Soybean/Sweet Almond/Wheat Seed)/Hordeum Vulgare Sprout/Cyperus Esculentus Tuber/Artemisia Princeps/Broccoli/Chenopodium Quinoa/Enteromorpha Compressa/Hordeum Vulgare/Ipomoea Batatas/Laminaria Japonica/Lentinus Edodes/Pleurotus Ostreatus/Porphyra Tenera/Undaria Pinnatifida Extract"
"8;(Aspergillus/Saccharomyces)/Rice Ferment/Barley Grain Meal/Nelumbo Nucifera Flower Extract Ferment Extract Filtrate;(Aspergillus/Saccharomyces)/Rice Ferment/Barley Grain Meal/Nelumbo Nucifera Flower Extract Ferment Extract Filtrate"
"9;(Bidens Tripartita Flower/Leaf/Stem)/Perilla Frutescens Leaf/Prunella Vulgaris Extract;(Bidens Tripartita Flower/Leaf/Stem)/Perilla Frutescens Leaf/Prunella Vulgaris Extract"
"10;(Bifidobacterium/Polysorbate 80 Ferment + Lactobacillus/Polysorbate 80 Ferment) Lysate Filtrate;(Bifidobacterium/Polysorbate 80 Ferment + Lactobacillus/Polysorbate 80 Ferment) Lysate Filtrate"
"11;(Broccoli/Eruca Sativa/Lepidium Sativum/Nasturtium Officinale/Radish) Sprout Extract;(Broccoli/Eruca Sativa/Lepidium Sativum/Nasturtium Officinale/Radish) Sprout Extract"
"12;(Calendula Officinalis/Safflower Flower)/(Achillea Millefolium Flower/Leaf/Stem)/(Vaccinium Myrtillus/Vitex Agnus-Castus Fruit)/Rhus Chinensis Gall/Walnut Husk/(Camellia Sinensis/Nettle Leaf)/(Juniperus Communis Leaf/Stem)/Horse Chestnut Nut/Dichroa Febrifuga Root/Grape Seed/Acacia Catechu Wood/Goldenrod/Hypericum Perforatum Extract;(Calendula Officinalis/Safflower Flower)/(Achillea Millefolium Flower/Leaf/Stem)/(Vaccinium Myrtillus/Vitex Agnus-Castus Fruit)/Rhus Chinensis Gall/Walnut Husk/(Camellia Sinensis/Nettle Leaf)/(Juniperus Communis Leaf/Stem)/Horse Chestnut Nut/Dichroa Febrifuga Root/Grape Seed/Acacia Catechu Wood/Goldenrod/Hypericum Perforatum Extract"
"13;(Camellia Japonica/Prunus Mume/Safflower Flower)/(Aronia Arbutifolia/Blueberry/Cranberry/Euterpe Oleracea Fruit)/Camellia Sinensis Leaf/Garcinia Mangostana Peel/Coffee Seed/Propolis/Wine Extract;(Camellia Japonica/Prunus Mume/Safflower Flower)/(Aronia Arbutifolia/Blueberry/Cranberry/Euterpe Oleracea Fruit)/Camellia Sinensis Leaf/Garcinia Mangostana Peel/Coffee Seed/Propolis/Wine Extract"
"14;(Cananga Odorata Flower/Leaf)/Ganoderma Lucidum Fruiting Body/(Corchorus Olitorius/Henna/Melia Azadirachta/Morus Alba/Muntingia Calabura/Psidium Guajava/Tamarindus Indica Leaf)/(Citrus Hystrix Leaf/Peel)/(Citronella/Cymbopogon Schoenanthus/Ocimum Tenuiflorum Leaf/Stem)/(Alpinia Galanga/Boesenbergia Rotunda/Ginger/Turmeric Rhizome)/Zingiber Cassumunar Root Extract;(Cananga Odorata Flower/Leaf)/Ganoderma Lucidum Fruiting Body/(Corchorus Olitorius/Henna/Melia Azadirachta/Morus Alba/Muntingia Calabura/Psidium Guajava/Tamarindus Indica Leaf)/(Citrus Hystrix Leaf/Peel)/(Citronella/Cymbopogon Schoenanthus/Ocimum Tenuiflorum Leaf/Stem)/(Alpinia Galanga/Boesenbergia Rotunda/Ginger/Turmeric Rhizome)/Zingiber Cassumunar Root Extract"
"15;(Carthamus Tinctorius/Chamomilla Recutita/Syzygium Aromaticum) Flower/(Lithospermum Erythrorhizon/Sophora Flavescens/Scutellaria Baicalensis) Root Extract;(Carthamus Tinctorius/Chamomilla Recutita/Syzygium Aromaticum) Flower/(Lithospermum Erythrorhizon/Sophora Flavescens/Scutellaria Baicalensis) Root Extract"
"16;(Citrus Aurantium Amara/Forsythia Suspensa) Fruit/Scutellaria Baicalensis Root Extract;(Citrus Aurantium Amara/Forsythia Suspensa) Fruit/Scutellaria Baicalensis Root Extract"
"17;(Cnidium Officinale/Coptis Chinensis/Glycyrrhiza Uralensis) Root Extract;(Cnidium Officinale/Coptis Chinensis/Glycyrrhiza Uralensis) Root Extract"
"18;(Codonopsis Tangshen/Dioscorea Japonica) Root/Atractylodes Japonica Rhizome/Poria Cocos/(Dolichos Lablab/Coix Lacryma-Jobi Ma-Yuen/Euryale Ferox/Nelumbo Nucifera) Seed Extract;(Codonopsis Tangshen/Dioscorea Japonica) Root/Atractylodes Japonica Rhizome/Poria Cocos/(Dolichos Lablab/Coix Lacryma-Jobi Ma-Yuen/Euryale Ferox/Nelumbo Nucifera) Seed Extract"
"19;(Cryptomeria Japonica/Chamaecyparis Obtusa) Stem Ferment Extract;(Cryptomeria Japonica/Chamaecyparis Obtusa) Stem Ferment Extract"
"20;(Eclipta Prostrata/Houttuynia Cordata) Leaf Extract;(Eclipta Prostrata/Houttuynia Cordata) Leaf Extract"
"21;(Gelidium Elegans/Lingulatum/Rex/Sesquipedale)/(Gracilaria Chilensis/Vermiculophylla)/Pterocladiella Tenuis Oligosaccharides;(Gelidium Elegans/Lingulatum/Rex/Sesquipedale)/(Gracilaria Chilensis/Vermiculophylla)/Pterocladiella Tenuis Oligosaccharides"
"22;(Grifola Frondosa/Inonotus Obliquus/Schizophyllum Commune/Tricholoma Matsutake) Mycelium/Lethariella Cladonioides Ferment Extract Filtrate;(Grifola Frondosa/Inonotus Obliquus/Schizophyllum Commune/Tricholoma Matsutake) Mycelium/Lethariella Cladonioides Ferment Extract Filtrate"
"23;(Honey + Zymomonas Ferment) Extract;(Honey + Zymomonas Ferment) Extract"
