name;synonym
Water;water/aqua/eau|water/eau|water/aqua|water aqua|water eau|water/eau (aqua)|aqua water|aqua (water eau),water (aqua/eau)|water (aqua)|aqua (water)|aqua/water/eau|aqua/water|aqua water(eau)|aqua water water|eau)
Parfum;fragrance (fragrance)|fragrance (parfum)|fragrance/parfum|fragrance(parfum)|fragrance parfum|parfum fragrance|perfum|perfume|parfum/fragrance|perfume fragrance|parfum (fragrance)|perfum fragrance|perfum (fragrance)
Aroma;aroma (flavor)|aroma/flavor|aromatics
Ci 77492;iron oxides ci 77492|iron oxides (ci 77492)|ci 77492 iron oxides|ci 77492 (iron oxides)
Ci 77491;iron oxides ci 77491|iron oxides (ci 77491)|red iron oxide ci 77491
Ci 77499;iron oxides ci 77499|iron oxides (ci 77499)|ci 77499 (iron oxides)
Ci 77742;manganese violet ci 77742|manganese violet (ci 77742)|ci 77742 (manganese violet)|ci 77742 manganese violet|ci 77742/manganese violet
Ci 77891;titanium dioxide ci 77891|titanium dioxide/ci 77891|titanium dioxides ci 77891|ci 77891 (titanium dioxide)|ci 77891 (titanium dioxides)|ci 77891 titanium dioxide|ci 77891/titanium dioxide
Ci 77510;ferric ferrocyanide ci 77510|ferric ferrocyanide (ci 77510)|ferric ammonium ferrocyanide (ci 77510)|ci 77510/ferric ammonium ferrocyanide
Ci 77007;ultramarines ci 77007|ultramarines (ci 77007)
Ci 19140;yellow 5 ci 19140|yellow 5 (ci 19140)|yellow 5 lake ci 19140|yellow no. 5 ci 19140|fd&c yellow no. 5 aluminum lake (ci 19140)
Ci 75470;ci 75470 carmine|carmine (ci 75470)|ci 75470/carmine
Ci 15880;d&c red no. 34 calcium lake (ci 15880)|red 34 lake (ci 15880)|ci 15880/red 34 lake
Ci 45410;ci 45410 (red 28 lake)
Ci 77000;aluminum (ci 77000)|aluminum powder (ci 77000)
Ci 15850;ci 15850 (red 7 lake)|ci 15850 (red 7)|ci 15850 (red 6)
Ci 42090;42090 (blue 1)|42090 (blue 1 lake)
Carbon Bl;ci 77266|ci 77266 (nano) black 2|ci 77266 nano (black 2)|ci 77266 (nano)|ci 77266 (black 2) (nano)|ci 77266 (nano)/black 2|ci 77266 black 2|ci 77266 (black 2)
Mica;ci 77019|mica (ci 77019)
Beeswax;"beeswax (cera alba)|cera alba beeswax|beeswax/cera alba|cera alba/beeswax|cera alba/beeswax/cire d""abeille"
Limonene;lemonene
Capric/Caprylic Triglycerides;caprylic capric triglyceride
Alcohol Denat.;alchol dent|alcoholdenat|alcoholdent|alchol|alkohol
Alpha-Isomethyl Ionone;alpha,isomethyl ionon|alpha,isomethyl ionone|alpha isomethyl ionone|alpha,isomethyl ionon|alpha-isomethylionone
