name;synonym
Niacinamide;Vitamin B3, Nicotinamide, and 3-Pyridinecarboxamide
Hyaluronic Acid;Hyaluronan
Salicylic Acid;N/A
Glycerin;Vegetable Glycerin, Glycerine, and Glycerol
Retinol;Vitamin A
Ascorbic Acid;Vitamin C and L-Ascorbic Acid
Water;Eau, Aqua, Purified Water, Aqua / Water, Distilled Water, Deionized Water, and Spring Water
Panthenol;Pro-Vitamin B5
Glycolic Acid;N/A
Centella Asiatica Extract;Gotu Kola, Tiger Grass, Indian Pennywort, Cica, Asiatic Acid, Hydrocotyl, and Asiatic Pennywort
Azelaic Acid;N/A
Sodium Hyaluronate;Hyaluronic Acid, Hyaluronic Sodium, and Hyaluronic Salt
Squalane;Olive Squalane
Lactic Acid;N/A
Tretinoin;All-Trans-Retinoic Acid and Retinoic Acid
Benzoyl Peroxide;N/A
Snail Secretion Filtrate;Snail Mucin, Snail Secretion Filtrate, and Ssf
BHA;Butylated Hydroxyanisole
Ceramide NP;Ceramide NP, 2-Octadecanamide, Stearoyl-C18-Phytosphingosine, and Stearoyl-4-Hydroxysphinganine
Ceramide AP;1, 3, 4-Octadecanetriol, 2-(2-Hydroxy) Stearamide, Α-Hydroxy-N-Stearoylphytosphingosine, and Ceramide 6
Citric Acid;N/A
Tocopherol;Vitamin E
Camellia Sinensis Leaf Extract;Green Tea, Oolong Tea, White Tea, Black Tea, Green Tea Extract, and Green Tea Leaf Extract
Alpha-Arbutin;N/A
Retinal;Retinaldehyde
Ceramide 1;N/A
Allantoin;N/A
Copper Tripeptide-1;Ghk-Cu, Glycyl-L-Histidyl-L-Lysine, Ghk, and Copper Peptide
Centella Asiatica Leaf Cell Extract;N/A
Aloe Barbadensis Leaf Juice;Aloe Vera, Aloe Vera Leaf, Aloe Vera 100x, Aloe Vera 200x, and Aloe Vera Gel
Tranexamic Acid;Txa
Propolis Extract;N/A
Aloe Barbadensis Leaf;Aloe and Aloe Vera Leaf Powder
Hydrolyzed Hyaluronic Acid;N/A
Mandelic Acid;Amygdalic Acid
Urea;Carbamide
Adapalene;N/A
Bakuchiol;N/A
Kojic Acid;N/A
Zinc Oxide;N/A
Collagen;Vegetable Collagen
Ceramide EOP;2-Stearoyloxyheptacosamide, Stearoyloxyheptacosanoyl-C18-Phytosphingosine, and Stearoyloxyheptacosanoyl-4-Hydroxysphinganine
Zinc;N/A
Dimethicone;N/A
Ceramide 3;N/A
Butylene Glycol;Bg
Caprylic/Capric Triglyceride;N/A
Madecassoside;N/A
Caffeine;N/A
Centella Asiatica Leaf Extract;N/A
Snail Extract;N/A
Tocopheryl Acetate;N/A
Arbutin;N/A
Ferulic Acid;N/A
Squalene;N/A
Butyrospermum Parkii Butter;Shea Butter and Karite Butter
Ceramide Ag;N/A
Rosa Damascena Flower Water;Rose Water, Rose Hydrosol, and Damask Rose Water
Colloidal Oatmeal;N/A
Ceramide Ng;Ceramide 2
1,2-Hexanediol;1,2 Hexanediol
Centella Asiatica Leaf;N/A
Propanediol;Propandiol, Trimethylene Glycol, 1,3-Dihydroxypropane, 2-Deoxyglycerol, Methylpropanediol, and Propane-1,3-Diol
Beta-Glucan;N/A
Avena Sativa Kernel Extract;Oat Extract and Colloidal Oatmeal
Houttuynia Cordata Extract;Fish Mint, Fish Mint Extract, Heart Leaf Extract, and Chameleon Plant
Ceramide Ns;2-Hexadecanamide, Palmitoyl-C16-Dihydrosphingosine, 1-Stearoyl-C18-Sphingosine, and 1,3-Hexadecanediol
Ceramide As;N/A
Acetyl Hexapeptide-8;Agireline, Acetyl Hexpeptide-3, and Argireline
Betaine;N/A
Sulfur;N/A
Panax Ginseng Root Extract;Black Ginseng Extract, Korean Ginseng, and Korean Red Ginseng
Honey;Mel
Zinc PCA;N/A
Caprylyl Glycol;N/A
Melaleuca Alternifolia Leaf Extract;Tea Tree Leaf Extract
Centella Asiatica Flower/Leaf/Stem Extract;N/A
Palmitoyl Pentapeptide-4;Collagen Pentapeptid, Kttks, and Matrixyl
Tripeptide-1;N/A
Tetrahexyldecyl Ascorbate;N/A
Ceramide 2;N/A
Melaleuca Alternifolia Leaf Oil;Tea Tree Oil, Tea Tree Essential Oil, and Tto
Centella Asiatica Leaf Water;N/A
Titanium Dioxide;Titanium Dioxide, Titanium, and Titanium Dioxide (Ci 77891)
Sodium Hydroxide;Lye, Caustic Soda, and Naoh
Aloe Barbadensis Leaf Extract;N/A
Glycyrrhiza Glabra Root Extract;Licorice Root Extract
Clindamycin Phosphate;N/A
Adenosine;N/A
Cholesterol;N/A
Galactomyces Ferment Filtrate;N/A
Bisabolol;Alpha-Bisabolo
Oryza Sativa Extract;Rice Extract and Asian Rice
Gluconolactone;N/A
Bifida Ferment Lysate;N/A
Simmondsia Chinensis Seed Oil;Jojoba Oil and Jojoba
Palmitoyl Tetrapeptide-7;N/A
Ethylhexylglycerin;N/A
Palmitoyl Tripeptide-1;Pal-Ghk and Palmitoyl Oligopeptide
Sodium Ascorbyl Phosphate;N/A
Petrolatum;Petroleum Jelly
Hydroquinone;N/A
Xanthan Gum;Xanthomonas Campestris Gum
Artemisia Vulgaris Extract;Mugwort Extract
3-O-Ethyl Ascorbic Acid;Ethyl Ascorbic Acid
Ascorbyl Glucoside;Aa2g
Bacillus/Royal Jelly/Green Tea/Soybean Ferment Filtrate;N/A
Niacin;Nicotinic Acid
Phenoxyethanol;2-Phenoxyethanol
Resveratrol;N/A
Parfum;Fragrance, Fragrance Oil, and Fo
Zinc Pyrithione;N/A
Pantothenic Acid;B5 and Vitamin B5
Polyglutamic Acid;Natto Gum, Gamma Polyglutamic Acid, and Sodium Polyglutamate
Sodium Benzoate;N/A
Rosa Canina Fruit Oil;Rosehip Seed Oil, Rose Hip Oil, and Rosehip Essential Oil
Arginine;L-Arginine and (2s)-2-Amino-5-Guanidinopentanoic Acid
Dipotassium Glycyrrhizate;Licorice Extract and Sweet Root
Ceramide 4;N/A
Hexapeptide-9;N/A
Kaolin;Kaolin Clay, White Clay, Pink Clay, Magnesium Silicate, and China Clay
Rice Ferment Filtrate;N/A
Linoleic Acid;Lanolic Acid and Vitamin F
Salix Alba Bark Extract;Willow Bark and White Willow Bark Extract
Aloe Vera Callus Extract;N/A
Disodium EDTA;Disodium and Disodium Edetate
Madecassic Acid;N/A
Glutathione;N/A
Calendula Officinalis Flower Extract;Calendula, Infused Oil, and Pot Marigold
Argania Spinosa Kernel Oil;Argan Oil and Argan Tree Kernel Oil
Ubiquinone;Coenzyme Q10, Coq10, and Ubiquinone-10
Ascorbyl Tetraisopalmitate;Atip and Thd Ascorbate
Helianthus Annuus Seed Oil;Sunflower Oil and Sunflower Seed Oil
Betaine Salicylate;N/A
Ceramide 5;N/A
Ceramide 6 Ii;N/A
Dipeptide-2;N/A
Chamomilla Recutita Flower Extract;German Chamomile Flower Oil
Camellia Sinensis Leaf;Green Tea Leaf
Magnesium Ascorbyl Phosphate;N/A
Retinyl Palmitate;Vitamin A Palmitate
Asiaticoside;N/A
Cetearyl Alcohol;(C16-C18) Alkyl Alcohol, C1618, C16-18 Alcohols, Cetostearyl Alcohol, and Cetyl/Stearyl Alcohol
Sodium Hyaluronate Crosspolymer;N/A
Centella Asiatica Meristem Cell Culture;N/A
Ceramide Eos;N/A
Sodium PCA;Sodium 5-Oxo-2-Pyrrolidinecarboxylate
Silica;N/A
Propylene Glycol;Methyl Glycol, 1,2-Dihydroxypropane, Trimethyl Glycol, and 1,2-Propanediol
Retinyl Retinoate;N/A
Centella Asiatica Root Extract;N/A
Hydrolyzed Collagen;N/A
Lactobionic Acid;N/A
Bifida Ferment Filtrate;N/A
Asiatic Acid;N/A
Ethylhexyl Triazone;Octyltriazone and Uvinul T 150
Ascorbyl Palmitate;Ascorbyl-6 Palmitate
Phytosphingosine;N/A
Honey Extract;N/A
Sodium Acetylated Hyaluronate;N/A
Sorbitol;N/A
Panax Ginseng Root Water;Asian Ginseng and Red Ginseng
Cannabis Sativa Seed Oil;Hemp Oil and Hemp Seed Oil
Hypochlorous Acid;N/A
Camellia Sinensis Leaf Water;N/A
Biotin/Folic Acid/Cyanocobalamin/Niacinamide/Pantothenic Acid/Pyridoxine/Riboflavin/Thiamine/Yeast Polypeptides;N/A
Palmitoyl Hexapeptide-12;N/A
Malic Acid;N/A
Lactobacillus Ferment;N/A
Camellia Oleifera Leaf Extract;Tea Oil Camellia
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine;Tinosorb S and Bemotrizinol
Palmitoyl Tripeptide-5;N/A
Scutellaria Baicalensis Root Extract;N/A
Aloe Barbadensis Leaf Water;N/A
Linolenic Acid;Ala, Alpha-Linolenic Acid, and Omega-3 Fatty Acid
Algae Extract;N/A
Honey/Panax Ginseng Root/Propolis/Royal Jelly/Scutellaria Baicalensis Root Extract;N/A
Glycyrrhiza Uralensis Root Extract;Chinese Licorice Root Extract
Hamamelis Virginiana Extract;Witch Hazel Extract
Palmitoyl Tripeptide-38;N/A
Diethylamino Hydroxybenzoyl Hexyl Benzoate;N/A
Cocos Nucifera Oil;Coconut Oil
Cicada Extract;N/A
Trehalose;Mycose and Tremalose
Hamamelis Virginiana Water;Witch Hazel Water
Lactobacillus;N/A
Folic Acid;Folate , Vitamin B9, and Folacin
Glycine;Magnesium Gluconate
Sea Water;N/A
(Licorice/Reynoutria Japonica) Root/Stem Extract;N/A
Benzyl Benzoate;Benzyl Benzoate Usp
Hydroxypinacolone Retinoate;N/A
Ectoin;N/A
Hydrolyzed Sodium Hyaluronate;Miniha
Algae;N/A
Oligopeptide-1;N/A
Xylitol;N/A
Centella Asiatica Meristem Cell Culture Extract;N/A
Vitis Vinifera Seed Oil;Grape Seed Oil and Grapeseed Oil
Caprylic Acid;Octanoic Acid
Bentonite;Clay, Glacial Clay, and Bentonite Clay
Saccharomyces Ferment Filtrate;Yeast Fermentation Filtrate
Sodium Chloride;Salt, Table Salt, Dendritic Salt, Solar Salt, and Himalayan Salt
Rosmarinus Officinalis Leaf Extract;Rosemary Extract, Roe, and Rosemary Oleoresin
Cetyl Alcohol;N/A
Tremella Fuciformis Extract;Snow Mushroom Extract and White Jelly Extract
Avena Sativa Kernel Flour;Oatmeal Powder
Sh-Oligopeptide-1;N/A
Oryza Sativa Bran Extract;Rice Bran Extract
Glucose;N/A
Pentylene Glycol;N/A
Glyceryl Stearate;Glyceryl Stearate Nse and Glyceryl Stearate Gms-Nse
Cocamidopropyl Betaine;1-Propanaminium, Hydroxide Inner Salt, and Capb
Capryloyl Salicylic Acid;N/A
Hydrogenated Jojoba Oil;Jojoba Wax Beads
Portulaca Oleracea Extract;Purslane
Rose Flower Oil;Rose Otto and Rose Otto Essential Oil
Saccharomyces/Rice Ferment Filtrate;N/A
Panax Ginseng Extract;N/A
Lanolin;Lanolin Butter, Wool Fat, and Wool Wax
Phospholipids;N/A
Lactobacillus/Licorice Root Extract Ferment Filtrate;N/A
Chamomilla Recutita Extract;Matricaria (Chamomilla Recutita) Extract and Matricaria Extract
Hydroxyacetophenone;N/A
Hydrogenated Lecithin;N/A
Hydroxyethyl Urea;Hydrovance
Olea Europaea Fruit Oil;Olive Oil
Oryza Sativa Bran Oil;Rice Bran Oil
Carbomer;N/A
Aloe Vera Vesicles;N/A
Stearic Acid;N/A
Rosa Canina Seed Oil;N/A
Zinc Gluconate;N/A
Saccharomyces/Xylinum/Black Tea Ferment;N/A
Alanine;N/A
Aloe Barbadensis Leaf Juice Powder;N/A
Acetyl Glucosamine;N-Acetyl Glucosamine
