Ingredient ID,Ingredient,Usage,No.of products contained in
1,Niacinamide,Smoothing,4733
2,Hyaluronic Acid,"Humectant, Moisturising, Skin Conditioning",1736
3,Salicylic Acid,"Masking, Preservative, Skin Conditioning",1986
4,Glycerin,"Humectant, Skin Conditioning, Skin Protecting",19279
5,Retinol,Skin Conditioning,598
6,Ascorbic Acid,"Masking, Skin Conditioning, Antioxidant",1381
7,Water,"Skin Conditioning, Solvent",22513
8,Panthenol,Skin Conditioning,5693
9,Glycolic Acid,Buffering,1101
10,Centella Asiatica Extract,"Cleansing, Skin Conditioning, Smoothing",2204
11,Azelaic Acid,"Masking, Buffering",194
12,Sodium Hyaluronate,"Humectant, Skin Conditioning",7784
13,Squalane,"Emollient, Skin Conditioning",3193
14,Lactic Acid,"Humectant, Skin Conditioning, Buffering",2127
15,Tretinoin,"",65
16,Benzoyl Peroxide,Oxidising,78
17,Snail Secretion Filtrate,Skin Conditioning,217
18,BHA,"Masking, Antioxidant",744
19,Ceramide NP,Skin Conditioning,1947
20,Ceramide AP,Skin Conditioning,886
21,Citric Acid,"Masking, Buffering",8110
22,Tocopherol,"Masking, Skin Conditioning, Antioxidant",8939
23,Camellia Sinensis Leaf Extract,"Antimicrobial, Astringent, Emollient",2938
24,Alpha-Arbutin,"Bleaching, Skin Conditioning, Antioxidant",177
25,Ceramide 1,Skin Conditioning,64
26,Retinal,Skin Conditioning,90
27,Allantoin,"Skin Conditioning, Skin Protecting, Soothing",3773
28,Copper Tripeptide-1,Skin Conditioning,391
29,Centella Asiatica Leaf Cell Extract,"Antioxidant, Skin Protecting",2
30,Aloe Barbadensis Leaf Juice,Skin Conditioning,2789
31,Tranexamic Acid,"Astringent, Skin Conditioning",251
32,Propolis Extract,Skin Conditioning,344
33,Aloe Barbadensis Leaf,Masking,151
34,Hydrolyzed Hyaluronic Acid,"Humectant, Skin Conditioning",1586
35,Mandelic Acid,Antimicrobial,226
36,Urea,"Humectant, Skin Conditioning, Buffering",687
37,Adapalene,"",18
38,Bakuchiol,"Antimicrobial, Emollient, Skin Conditioning",324
39,Kojic Acid,Antioxidant,106
40,Collagen,"Moisturising, Skin Conditioning",192
41,Zinc Oxide,"Cosmetic Colorant, Skin Protecting, UV Absorber",1032
42,Ceramide EOP,Skin Conditioning,528
43,Zinc,Antioxidant,10
44,Dimethicone,"Emollient, Skin Conditioning, Skin Protecting",5717
45,Ceramide 3,Skin Conditioning,230
46,Butylene Glycol,"Humectant, Masking, Skin Conditioning",10109
47,Caprylic/Capric Triglyceride,"Masking, Skin Conditioning",5787
48,Caffeine,Skin Conditioning,1032
49,Madecassoside,"Skin Conditioning, Antioxidant",741
50,Centella Asiatica Leaf Extract,Skin Conditioning,327
51,Snail Extract,"Emollient, Skin Conditioning",7
52,Tocopheryl Acetate,"Skin Conditioning, Antioxidant",5976
53,Arbutin,"Bleaching, Skin Conditioning, Antioxidant",167
54,Ferulic Acid,"Antimicrobial, Antioxidant",250
55,Butyrospermum Parkii Butter,Skin Conditioning,3634
56,Squalene,"Emollient, Skin Conditioning",199
57,Ceramide Ag,"Humectant, Skin Conditioning",7
58,Colloidal Oatmeal,"Absorbent, Abrasive, Skin Protecting",4
59,Rosa Damascena Flower Water,"Masking, Skin Conditioning, Skin Protecting",846
60,Ceramide Ng,Skin Conditioning,175
61,"1,2-Hexanediol","Skin Conditioning, Solvent",6808
62,Centella Asiatica Leaf,Skin Conditioning,4
63,Propanediol,Solvent,5899
64,Beta-Glucan,Skin Conditioning,961
65,Avena Sativa Kernel Extract,"Emollient, Skin Conditioning, Abrasive",639
66,Houttuynia Cordata Extract,Skin Conditioning,471
67,Ceramide Ns,Skin Conditioning,430
68,Ceramide As,Skin Conditioning,148
69,Acetyl Hexapeptide-8,"Humectant, Skin Conditioning",651
70,Betaine,"Humectant, Skin Conditioning",2394
71,Sulfur,"Antiseborrhoeic, Skin Conditioning",81
72,Panax Ginseng Root Extract,"Emollient, Skin Protecting, Tonic",613
73,Honey,"Humectant, Skin Conditioning",378
74,Zinc PCA,"Humectant, Skin Conditioning",399
75,Caprylyl Glycol,"Emollient, Humectant, Skin Conditioning",7266
76,Melaleuca Alternifolia Leaf Extract,"Perfuming, Skin Conditioning",372
77,Tripeptide-1,"Skin Conditioning, Skin Protecting",163
78,Centella Asiatica Flower/Leaf/St...,Skin Conditioning,35
79,Palmitoyl Pentapeptide-4,Skin Conditioning,344
80,Tetrahexyldecyl Ascorbate,"Skin Conditioning, Antioxidant",234
81,Ceramide 2,Skin Conditioning,38
82,Melaleuca Alternifolia Leaf Oil,"Perfuming, Antioxidant",750
83,Titanium Dioxide,"Cosmetic Colorant, UV Absorber, UV Filter",1780
84,Centella Asiatica Leaf Water,Skin Conditioning,77
85,Sodium Hydroxide,Buffering,4719
86,Aloe Barbadensis Leaf Extract,"Emollient, Humectant, Skin Conditioning",1146
87,Glycyrrhiza Glabra Root Extract,"Bleaching, Emollient, Skin Conditioning",1259
88,Clindamycin Phosphate,"",25
89,Adenosine,Skin Conditioning,2095
90,Cholesterol,"Emollient, Emulsifying, Skin Conditioning",1072
91,Galactomyces Ferment Filtrate,Humectant,160
92,Bisabolol,"Masking, Skin Conditioning, Soothing",1254
93,Oryza Sativa Extract,"Absorbent, Skin Conditioning",397
94,Gluconolactone,Skin Conditioning,1002
95,Bifida Ferment Lysate,Skin Conditioning,296
96,Palmitoyl Tetrapeptide-7,Skin Conditioning,571
97,Ethylhexylglycerin,Skin Conditioning,9876
98,Simmondsia Chinensis Seed Oil,"Emollient, Skin Conditioning",2560
99,Petrolatum,Emollient,542
