IngredientIdentifier,Name,Description,CASCODE,ECHA_LINK,EntityId,CategoryId,Carcinogens,EndocrineDisruptors,Allergen,SkinIrritant,Id,CreatedBy,CreatedOn,LastModifiedBy,LastModifiedOn,IsActive,column3
G00001,Saccharomyces/Leuconostoc/Apple Fruit/Carrot Root/Radish Root/Cabbage Leaf/Celery Leaf/Cucumber Fruit/Banana Fruit/Onion Bulb/Arctium Lappa Root/Spinach Leaf/ Orange Peel/Tomato Fruit/Phaseolus Radiatus Sprout/Pumpkin Fruit Extract Ferment Filtrate,,,,,1,FALSE,FALSE,FALSE,FALSE,1,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00002,Lactobacillus/Centella Asiatica/Gleditsia Sinensis Thorn/Houttuynia Cordata Extract/Phellodendron Amurense Bark/Polygonum Cuspidatum Root/Prunella Vulgaris/Torilis Japonica Extract Ferment Filtrate,,,,,1,FALSE,FALSE,FALSE,FALSE,2,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00003,Bacillus/Cordyceps Sinensis/Ganoderma Lucidum/Inonotus Obliquus/Lentinus Edodes/Phellinus Linteus/Schizophyllum Commune/Tricholoma Matsutake Extract Ferment Filtrate,,,,,1,FALSE,FALSE,FALSE,FALSE,3,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00004,Ziziphus Spina-Christi Leaf,,Jujube leaves,,,1,FALSE,FALSE,FALSE,FALSE,4,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00005,Zingiber Officinale Water,,84696-15-1 - Ginger water,,,1,FALSE,FALSE,FALSE,FALSE,5,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00006,Zingiber Officinale Root Oil,,8007-08-7 - Ginger root oil,,,1,FALSE,FALSE,FALSE,FALSE,6,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00007,Zingiber Officinale Root Extract,,84696-15-1 - Ginger root extract,,,1,FALSE,FALSE,FALSE,FALSE,7,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00008,Zingiber Officinale Extract,,84696-15-1 - Ginger extract,,,1,FALSE,FALSE,FALSE,FALSE,8,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00009,Zingiber Cassumunar Root Oil,,84696-15-1 / 8007-08-7,,,1,FALSE,FALSE,FALSE,FALSE,9,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00010,Zinc Stearate,,0557-05-01,,,1,FALSE,FALSE,FALSE,FALSE,10,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00011,Zinc Hydroxyapatite,,,,,1,FALSE,FALSE,FALSE,FALSE,11,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00012,Zea Mays Starch,,9005-25-8 - Corn starch,,,1,FALSE,FALSE,FALSE,FALSE,12,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00013,Zea Mays Silk Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,13,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00014,Zea Mays Oil,,8001-30-7 - Corn oil,,,1,FALSE,FALSE,FALSE,FALSE,14,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00015,Zea Mays Leaf Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,15,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00016,Zea Mays Kernel Extract,,84696-06-0 - Corn grain extract,,,1,FALSE,FALSE,FALSE,FALSE,16,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00017,Zea Mays Germ Oil,,8001-30-7 - Corn oil,,,1,FALSE,FALSE,FALSE,FALSE,17,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00018,Zea Mays Germ Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,18,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00019,Zea Mays Bud/Seed Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,19,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00020,Zanthoxylum Bungeanum Pericarp Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,20,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00021,Zanthoxylum Bungeanum Fruit Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,21,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
G00022,Zantedeschia Aethiopica Flower Extract,,,,,1,FALSE,FALSE,FALSE,FALSE,22,system_user,2023-02-12 21:07:00.000 +0100,system_user,2023-02-12 21:07:00.000 +0100,TRUE,
