,name,all_possible_synonyms_tok
0,Niacinamide,niacinamide
0,Niacinamide,vitamin b3
0,Niacinamide,nicotinamide
0,Niacinamide,and 3-pyridinecarboxamide
1,Hyaluronic Acid,hyaluronic acid
1,Hyaluronic Acid,hyaluronan
2,Salicylic Acid,salicylic acid
3,Glycerin,glycerin
3,Glycerin,vegetable glycerin
3,Glycerin,glycerine
3,Glycerin,and glycerol
4,Retinol,retinol
4,Retinol,vitamin a
5,Ascorbic Acid,ascorbic acid
5,Ascorbic Acid,vitamin c and l-ascorbic acid
6,Water,water
6,Water,eau
6,Water,aqua
6,Water,purified water
6,Water,aqua / water
6,Water,distilled water
6,Water,deionized water
6,Water,and spring water
7,Panthenol,panthenol
7,Panthenol,pro-vitamin b5
8,Glycolic Acid,glycolic acid
9,Centella Asiatica Extract,centella asiatica extract
9,Centella Asiatica Extract,gotu kola
9,Centella Asiatica Extract,tiger grass
9,Centella Asiatica Extract,indian pennywort
9,Centella Asiatica Extract,cica
9,Centella Asiatica Extract,asiatic acid
9,Centella Asiatica Extract,hydrocotyl
9,Centella Asiatica Extract,and asiatic pennywort
10,Azelaic Acid,azelaic acid
11,Sodium Hyaluronate,sodium hyaluronate
11,Sodium Hyaluronate,hyaluronic acid
11,Sodium Hyaluronate,hyaluronic sodium
11,Sodium Hyaluronate,and hyaluronic salt
12,Squalane,squalane
12,Squalane,olive squalane
13,Lactic Acid,lactic acid
14,Tretinoin,tretinoin
14,Tretinoin,all-trans-retinoic acid and retinoic acid
15,Benzoyl Peroxide,benzoyl peroxide
16,Snail Secretion Filtrate,snail secretion filtrate
16,Snail Secretion Filtrate,snail mucin
16,Snail Secretion Filtrate,snail secretion filtrate
16,Snail Secretion Filtrate,and ssf
17,BHA,bha
17,BHA,butylated hydroxyanisole
18,Ceramide NP,ceramide np
18,Ceramide NP,ceramide np
18,Ceramide NP,2-octadecanamide
18,Ceramide NP,stearoyl-c18-phytosphingosine
18,Ceramide NP,and stearoyl-4-hydroxysphinganine
