,name,synonym,all_possible_synonyms,all_possible_synonyms_formatted,all_possible_synonyms_tok
0,Cetearyl Alcohol,"(C16-C18) Alkyl Alcohol, C1618, C16-18 Alcohols, Cetostearyl Alcohol,Cetyl/Stearyl Alcohol","Cetearyl Alcohol, (C16-C18) Alkyl Alcohol, C1618, C16-18 Alcohols, Cetostearyl Alcohol,Cetyl/Stearyl Alcohol","Cetearyl Alcohol, (C16-C18) Alkyl Alcohol, C1618. C16-18 Alcohols, Cetostearyl Alcohol,Cetyl/Stearyl Alcohol","cetearyl alcohol, (c16-c18) alkyl alcohol, c1618. c16-18 alcohols, cetostearyl alcohol,cetyl/stearyl alcohol"
1,Oleyl Alcohol,(Z)-Octadec-9-Enol,"Oleyl Alcohol, (Z)-Octadec-9-Enol","Oleyl Alcohol, (Z)-Octadec-9-Enol","oleyl alcohol, (z)-octadec-9-enol"
2,Ceramide AP,"1, 3, 4-Octadecanetriol, 2-(2-Hydroxy) Stearamide, Α-Hydroxy-N-Stearoylphytosphingosine,Ceramide 6","Ceramide AP, 1, 3, 4-Octadecanetriol, 2-(2-Hydroxy) Stearamide, Α-Hydroxy-N-Stearoylphytosphingosine,Ceramide 6","Ceramide AP, 1. 3. 4-Octadecanetriol, 2-(2-Hydroxy) Stearamide, Α-Hydroxy-N-Stearoylphytosphingosine,Ceramide 6","ceramide ap, 1. 3. 4-octadecanetriol, 2-(2-hydroxy) stearamide, a-hydroxy-n-stearoylphytosphingosine,ceramide 6"
3,"1,2-Hexanediol","1,2 Hexanediol","1,2-Hexanediol, 1,2 Hexanediol","1.2-Hexanediol, 1.2 Hexanediol","1.2-hexanediol, 1.2 hexanediol"
4,Ceramide 1 A,"1,3,4-Octadecanetriol","Ceramide 1 A, 1,3,4-Octadecanetriol","Ceramide 1 A, 1.3.4-Octadecanetriol","ceramide 1 a, 1.3.4-octadecanetriol"
5,Cocamidopropyl Betaine,"1-Propanaminium, Hydroxide Inner Salt,Capb","Cocamidopropyl Betaine, 1-Propanaminium, Hydroxide Inner Salt,Capb","Cocamidopropyl Betaine, 1-Propanaminium, Hydroxide Inner Salt,Capb","cocamidopropyl betaine, 1-propanaminium, hydroxide inner salt,capb"
6,Sorbic Acid,"2,4-Hexadienoic Acid","Sorbic Acid, 2,4-Hexadienoic Acid","Sorbic Acid, 2.4-Hexadienoic Acid","sorbic acid, 2.4-hexadienoic acid"
7,Ceramide Ns,"2-Hexadecanamide, Palmitoyl-C16-Dihydrosphingosine, 1-Stearoyl-C18-Sphingosine,1,3-Hexadecanediol","Ceramide Ns, 2-Hexadecanamide, Palmitoyl-C16-Dihydrosphingosine, 1-Stearoyl-C18-Sphingosine,1,3-Hexadecanediol","Ceramide Ns, 2-Hexadecanamide, Palmitoyl-C16-Dihydrosphingosine, 1-Stearoyl-C18-Sphingosine,1.3-Hexadecanediol","ceramide ns, 2-hexadecanamide, palmitoyl-c16-dihydrosphingosine, 1-stearoyl-c18-sphingosine,1.3-hexadecanediol"
8,Hexylene Glycol,"2-Methyl-2,4-Pentanediol","Hexylene Glycol, 2-Methyl-2,4-Pentanediol","Hexylene Glycol, 2-Methyl-2.4-Pentanediol","hexylene glycol, 2-methyl-2.4-pentanediol"
9,Phenoxyethanol,2-Phenoxyethanol,"Phenoxyethanol, 2-Phenoxyethanol","Phenoxyethanol, 2-Phenoxyethanol","phenoxyethanol, 2-phenoxyethanol"
10,Ceramide EOP,"2-Stearoyloxyheptacosamide, Stearoyloxyheptacosanoyl-C18-Phytosphingosine,Stearoyloxyheptacosanoyl-4-Hydroxysphinganine","Ceramide EOP, 2-Stearoyloxyheptacosamide, Stearoyloxyheptacosanoyl-C18-Phytosphingosine,Stearoyloxyheptacosanoyl-4-Hydroxysphinganine","Ceramide EOP, 2-Stearoyloxyheptacosamide, Stearoyloxyheptacosanoyl-C18-Phytosphingosine,Stearoyloxyheptacosanoyl-4-Hydroxysphinganine","ceramide eop, 2-stearoyloxyheptacosamide, stearoyloxyheptacosanoyl-c18-phytosphingosine,stearoyloxyheptacosanoyl-4-hydroxysphinganine"
11,Caffeic Acid,"3,4-Dihydroxy-Cinnamic Acid","Caffeic Acid, 3,4-Dihydroxy-Cinnamic Acid","Caffeic Acid, 3.4-Dihydroxy-Cinnamic Acid","caffeic acid, 3.4-dihydroxy-cinnamic acid"
12,Paba,"4-Aminobenzoic Acid, Para-Aminobenzoic Acid","Paba, 4-Aminobenzoic Acid, Para-Aminobenzoic Acid","Paba, 4-Aminobenzoic Acid, Para-Aminobenzoic Acid","paba, 4-aminobenzoic acid, para-aminobenzoic acid"
13,Euterpe Oleracea Fruit Extract,"AÇaÍ Oil, Acai Oil","Euterpe Oleracea Fruit Extract, AÇaÍ Oil, Acai Oil","Euterpe Oleracea Fruit Extract, AÇaÍ Oil, Acai Oil","euterpe oleracea fruit extract, acai oil, acai oil"
14,Ascorbyl Glucoside,Aa2g,"Ascorbyl Glucoside, Aa2g","Ascorbyl Glucoside, Aa2g","ascorbyl glucoside, aa2g"
15,Aminopropyl Ascorbyl Phosphate,Aap,"Aminopropyl Ascorbyl Phosphate, Aap","Aminopropyl Ascorbyl Phosphate, Aap","aminopropyl ascorbyl phosphate, aap"
16,Euterpe Oleracea Juice,Acai Juice,"Euterpe Oleracea Juice, Acai Juice","Euterpe Oleracea Juice, Acai Juice","euterpe oleracea juice, acai juice"
17,Euterpe Oleracea Pulp Powder,Acai Powder,"Euterpe Oleracea Pulp Powder, Acai Powder","Euterpe Oleracea Pulp Powder, Acai Powder","euterpe oleracea pulp powder, acai powder"
18,Malpighia Emarginata Fruit Extract,Acerola Fruit Extract,"Malpighia Emarginata Fruit Extract, Acerola Fruit Extract","Malpighia Emarginata Fruit Extract, Acerola Fruit Extract","malpighia emarginata fruit extract, acerola fruit extract"
19,Malpighia Emarginata Seed Extract,Acerola Seed,"Malpighia Emarginata Seed Extract, Acerola Seed","Malpighia Emarginata Seed Extract, Acerola Seed","malpighia emarginata seed extract, acerola seed"
20,Acetylcedrene,"Acetyl Cedrene, Methyl Cedryl Ketone","Acetylcedrene, Acetyl Cedrene, Methyl Cedryl Ketone","Acetylcedrene, Acetyl Cedrene, Methyl Cedryl Ketone","acetylcedrene, acetyl cedrene, methyl cedryl ketone"
21,Adenosine Phosphate,"Adenosine Monophosphate, Amp","Adenosine Phosphate, Adenosine Monophosphate, Amp","Adenosine Phosphate, Adenosine Monophosphate, Amp","adenosine phosphate, adenosine monophosphate, amp"
22,Elaeis Guineensis Oil,"African Palm Oil, Macaw-Fat","Elaeis Guineensis Oil, African Palm Oil, Macaw-Fat","Elaeis Guineensis Oil, African Palm Oil, Macaw-Fat","elaeis guineensis oil, african palm oil, macaw-fat"
23,Gelidium Amansii Extract,Agar,"Gelidium Amansii Extract, Agar","Gelidium Amansii Extract, Agar","gelidium amansii extract, agar"
24,Acetyl Hexapeptide-8,"Agireline, Acetyl Hexpeptide-3,Argireline","Acetyl Hexapeptide-8, Agireline, Acetyl Hexpeptide-3,Argireline","Acetyl Hexapeptide-8. Agireline, Acetyl Hexpeptide-3.Argireline","acetyl hexapeptide-8. agireline, acetyl hexpeptide-3.argireline"
25,Ahnfeltia Concinna Extract,Ahnfeltia Extract,"Ahnfeltia Concinna Extract, Ahnfeltia Extract","Ahnfeltia Concinna Extract, Ahnfeltia Extract","ahnfeltia concinna extract, ahnfeltia extract"
