,generic_name,synonym
0,"1,10-Decanediol","1,10-decanediol"
0,"1,1-Dimethyl-2-Phenylethyl Isobutyrate","1,1-dimethyl-2-phenylethyl isobutyrate"
0,"1,1-Dimethyl-3-Phenylpropyl Isobutyrate","1,1-dimethyl-3-phenylpropyl isobutyrate"
0,"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-Trimethyl-2-Naphthol","1,2,3,4,4a,5,6,7-octahydro-2,5,5-trimethyl-2-naphthol"
1,"1,2,3,4,4a,7,8,8a-Octahydro-2,4a,5,8a-Tetramethyl-Naphthyl Formate","1,2,3,4,4a,7,8,8a-octahydro-2,4a,5,8a-tetramethyl-naphthyl formate"
1,"1,2,4-Trihydroxybenzene","1,2,4-trihydroxybenzene"
2,"1,2,6-Hexanetriol","1,2,6-hexanetriol"
3,"1,2-Bis-(2-Aminoethoxy)Ethane","1,2-bis-(2-aminoethoxy)ethane"
3,"1,2-Butanediol","1,2-butanediol"
3,"1,2-Dihydrolinalool","1,2-dihydrolinalool"
3,"1,2-Hexanediol","1,2-hexanediol"
4,"1,2-Hexanediol","1,2 hexanediol"
4,"1,2-Hexanediyl Dicaprate","1,2-hexanediyl dicaprate"
5,"1,3,4,6-Tetramethyl-2-Pyrimidone Sulfate","1,3,4,6-tetramethyl-2-pyrimidone sulfate"
5,"1,3-Bis-(2,4-Diaminophenoxy) Propane Hcl","1,3-bis-(2,4-diaminophenoxy) propane hcl"
5,"1,3-Bis-(2,4-Diaminophenoxy)Propane","1,3-bis-(2,4-diaminophenoxy)propane"
6,"1,3-Bis-(2,4-Diaminophenoxy)Propane Hcl","1,3-bis-(2,4-diaminophenoxy)propane hcl"
6,"1,3-Bis-(Isocyanatomethyl) Cyclohexane","1,3-bis-(isocyanatomethyl) cyclohexane"
6,"1,3-Dimethyl-3-Phenylbutyl Acetate","1,3-dimethyl-3-phenylbutyl acetate"
6,"1,3-Dimethyl-Bicycloheptane-2-Carbonitrile","1,3-dimethyl-bicycloheptane-2-carbonitrile"
6,"1,4-Butanediol","1,4-butanediol"
6,"1,4-Butanediol Bisdecanoate","1,4-butanediol bisdecanoate"
6,"1,4-Butanediol Dimethacrylate","1,4-butanediol dimethacrylate"
6,"1,4-Butanediol/Succinic Acid/Adipic Acid Copolymer","1,4-butanediol/succinic acid/adipic acid copolymer"
7,"1,4-Butanediol/Succinic Acid/Adipic Acid/Hdi Copolymer","1,4-butanediol/succinic acid/adipic acid/hdi copolymer"
